Id,Goal,Duration,Day1PledgedMoney,Day1#Backers,Day1#Tweets,Day1#Replies,Day1#Retweets,Day2PledgedMoney,Day2#Backers,Day2#Tweets,Day2#Replies,Day2#Retweets,Day3PledgedMoney,Day3#Backers,Day3#Tweets,Day3#Replies,Day3#Retweets,Day4PledgedMoney,Day4#Backers,Day4#Tweets,Day4#Replies,Day4#Retweets,Day5PledgedMoney,Day5#Backers,Day5#Tweets,Day5#Replies,Day5#Retweets,Day6PledgedMoney,Day6#Backers,Day6#Tweets,Day6#Replies,Day6#Retweets,Day7PledgedMoney,Day7#Backers,Day7#Tweets,Day7#Replies,Day7#Retweets,Day8PledgedMoney,Day8#Backers,Day8#Tweets,Day8#Replies,Day8#Retweets,Day9PledgedMoney,Day9#Backers,Day9#Tweets,Day9#Replies,Day9#Retweets,Day10PledgedMoney,Day10#Backers,Day10#Tweets,Day10#Replies,Day10#Retweets,State
1,5000,30,0.139,12.0,6.00935970687,0.0,0.0,0.162,15.0,6.0691171687,0.0,0.0,0.162,15.0,6.12711705813,0.0,0.0,0.182,16.0,6.18511694755,0.0,0.0,0.202,17.0,6.24487440938,0.0,0.0,0.205534271164,17.1767135582,6.30287429881,0.0,0.0,0.21544744651,17.6723723255,6.36087418824,0.0,0.0,0.223226488087,18.1069611704,6.42063165007,0.0,0.0,0.236606066735,19.2737848896,6.4786315395,0.0,0.0,0.249985645382,20.4406086089,6.53663142892,0.0,0.0,1
2,15000,30,1.50089333333,591.0,565.834112417,2.0,220.0,1.74689333333,671.0,625.470403476,4.0,240.0,1.84082666667,703.0,681.491268048,8.0,267.0,2.00060256455,752.109231215,716.833603086,8.0,279.0,2.07402666667,784.0,733.711162382,8.0,279.0,2.11702666667,804.0,744.992961712,10.0,279.0,2.18829333333,820.0,792.146461827,10.0,302.0,2.26449333333,843.0,825.974704957,11.0,319.0,2.34749333333,862.0,922.457040276,14.0,377.0,2.36882666667,873.0,925.476843985,14.0,378.0,1
3,100000,37,0.00014,1.0,1.0,0.0,0.0,0.00014,1.0,1.0,0.0,0.0,0.00014,1.0,1.0,0.0,0.0,0.00058,4.0,1.0,0.0,0.0,0.00085,6.0,1.0,0.0,0.0,0.00092,7.0,1.0,0.0,0.0,0.00092,7.0,1.0,0.0,0.0,0.00092,7.0,1.0,0.0,0.0,0.00101073601211,7.75613343423,1.0,0.0,0.0,0.00104,8.0,1.0,0.0,0.0,0
4,5000,30,0.03,1.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0.038,3.0,1.0,0.0,0.0,0
5,4000,30,0.26125,18.0,1.36634926621,0.0,0.0,0.395,27.0,1.76359699335,0.0,0.0,0.4425,32.0,2.05379107344,0.0,0.0,0.49,35.0,2.19283482406,0.0,0.0,0.51625,38.0,2.33609202167,0.0,0.0,0.51974885461,38.1866055792,2.47513577228,0.0,0.0,0.53119571438,38.7971047669,2.6141795229,0.0,0.0,0.54875,41.0,2.7574367205,0.0,0.0,0.56,43.0,2.89648047112,0.0,0.0,0.57375,45.0,3.0825971475,0.0,0.0,1
6,5000,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,35000,46,0.00602857142857,8.0,1.0,0.0,0.0,0.02199,59.0,2.16193303489,0.0,0.0,0.0221328571429,60.0,3.4243609586,0.0,0.0,0.0237042857143,65.0,4.02409662796,0.0,0.0,0.0266185714286,73.0,4.16853181768,0.0,0.0,0.02919,79.0,4.3064017715,0.0,0.0,0.0325757142857,89.0,4.45083696122,0.0,0.0,0.0344042857143,100.0,4.59527215094,0.0,0.0,0.03469,101.0,4.73970734065,0.0,0.0,0.0352614285714,104.0,4.87757729448,0.0,0.0,0
8,2000,30,2.1025,25.0,10.519034544,0.0,3.0,2.1425,28.0,11.0391420836,0.0,3.0,2.2025,30.0,11.0818214632,0.0,3.0,2.4625,32.0,11.1245008429,0.0,3.0,2.4725,33.0,11.1684735371,0.0,3.0,2.48846019643,34.1192039287,11.2111529168,0.0,3.0,2.52382963175,34.826592635,11.2538322964,0.0,3.0,2.56027086813,35.5554173627,11.2978049906,0.0,3.0,2.5825,36.0,11.3404843703,0.0,3.0,2.5925,37.0,11.3831637499,0.0,3.0,1
9,50000,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10,1500,30,0.000369721052297,0.138645394611,1.0,0.0,0.0,0.00123613718428,0.463551444105,1.0,0.0,0.0,0.00207707048885,0.778901433319,1.0,0.0,0.0,0.00266666666667,1.0,1.00956397843,0.0,0.0,0.00266666666667,1.0,1.1084910261,0.0,0.0,0.00266666666667,1.0,1.20450845472,0.0,0.0,0.00266666666667,1.0,1.30052588333,0.0,0.0,0.00266666666667,1.0,1.399452931,0.0,0.0,0.00266666666667,1.0,1.49547035962,0.0,0.0,0.00266666666667,1.0,1.59148778824,0.0,0.0,0
